id,relevance
1,1.9421964
4,1.921326
5,2.3914583
6,2.513451
7,2.3889358
8,2.1718059
10,2.6126816
11,2.606029
12,1.996694
13,2.7945518
14,2.6160462
15,2.3434937
19,2.5293927
22,2.8004541
24,2.5098343
25,2.2798855
26,1.9883288
28,2.6270947
29,2.21143
30,2.1016996
31,2.7397757
32,2.6563299
33,2.0907683
36,2.367312
39,2.4384775
40,2.6419854
41,2.198768
42,2.5240588
43,2.7043943
44,2.3710475
45,2.5630512
46,2.6290567
47,2.274356
49,2.5154288
50,2.5948489
52,2.4966269
53,2.2674966
54,2.28795
55,2.6281435
56,2.75552
57,2.2810636
58,2.4581542
59,2.3121364
60,2.0192156
61,2.5820527
62,2.50296
63,2.5466337
64,2.7253249
66,2.6855707
67,2.3571086
68,1.9486197
70,2.064429
71,2.4144983
72,2.1031163
73,2.0745447
74,2.1028361
76,2.0128133
77,2.1171696
78,1.8584747
79,2.0527537
80,2.056449
82,2.449076
83,2.4430346
84,1.8354955
86,2.3588805
87,2.4275005
89,2.331085
91,2.098046
93,1.8921034
94,2.1333942
95,2.0793278
96,2.0299578
97,2.1333942
98,2.2022128
99,1.9713702
100,2.667566
102,2.108392
103,2.1150968
104,2.0674217
107,2.635266
108,2.1415646
109,2.6872516
110,2.3045287
111,2.3593173
112,2.2643588
115,2.1892593
116,2.390726
118,2.5535026
119,2.577167
121,2.5441263
124,2.6584125
126,2.5754392
128,2.0959349
129,2.5415611
130,2.6285841
131,2.3850155
132,2.381696
133,2.7160125
134,2.3234968
135,2.3886664
137,2.445044
139,2.5863175
140,2.1485689
141,2.1024587
142,2.0112963
144,2.6011112
145,2.7750697
146,2.0025034
148,2.0723376
151,2.4204032
152,2.0579894
153,2.4354029
154,1.5251434
155,2.014801
156,2.0663745
159,2.13085
160,2.21143
161,2.2940342
163,2.7255394
167,2.6437469
168,2.5286205
169,2.0947917
170,2.6564717
171,2.7833111
173,2.4884887
174,2.0400906
175,2.395399
176,1.9321306
180,2.2050946
183,2.3531103
184,2.2211967
185,2.2211967
187,2.4879737
188,2.1520772
189,1.8755674
190,2.13145
192,2.2034535
194,2.4701917
196,2.072
197,2.2603939
198,2.59394
199,2.59394
200,2.7040677
204,2.8214514
206,2.565558
207,2.6137328
208,2.5686996
209,2.2726753
211,2.6123133
212,2.3460996
213,2.5978587
216,2.656864
217,2.4134247
218,2.487198
219,2.4884255
220,2.2414281
221,2.4675434
222,2.3142812
224,2.0299578
225,2.5660431
228,2.572436
229,2.3470938
230,2.5921638
231,2.3343704
232,2.3343704
234,2.5466526
235,2.6303859
236,2.4191601
237,2.4189029
238,2.827914
239,2.2959545
240,2.3959467
242,2.5828724
243,2.528586
244,2.3954947
246,2.2431068
247,1.9554591
248,2.245707
249,2.3912582
250,2.2304912
251,2.465525
252,2.4799373
253,2.130578
254,2.1716413
256,2.4979906
258,2.1133618
260,2.2520711
262,2.2903368
263,2.3709164
264,2.1398299
265,2.2324293
267,2.7822604
268,2.0993936
269,2.1489139
271,2.3997118
273,2.420531
274,2.2280762
277,2.5943384
278,2.1560063
279,2.1520772
280,2.5846634
281,2.5346758
282,2.6891668
283,2.5237167
285,2.709255
286,2.6032712
287,2.2112541
288,2.5671275
289,2.5671275
291,2.4255624
292,2.4353335
295,2.5725741
296,2.5725741
298,2.4400754
299,2.4400427
300,2.4082613
301,2.5663016
302,2.6720736
303,2.123401
304,1.9062127
306,2.4765706
307,2.3923304
308,2.496708
309,2.499711
310,2.5726273
311,2.6069214
312,2.6083965
313,2.3465638
315,2.481825
316,2.4082747
317,2.2122326
320,2.3999395
321,2.1338422
322,2.5245938
324,2.5877442
325,2.7082489
326,2.387138
328,2.4850676
329,2.3786232
330,2.3377075
332,2.311514
333,2.4175878
336,2.3278708
337,2.2642074
338,2.2993548
339,2.0512652
342,2.656451
344,2.1348767
345,2.5654976
348,2.0878456
349,2.4953296
352,2.136143
353,2.7231538
356,2.3022156
357,2.6728432
358,2.4541597
360,2.4132438
362,1.9113438
364,2.6618884
366,2.6500063
367,2.5630178
368,1.9988891
369,2.5303948
370,2.747616
371,2.7274828
372,2.5138493
376,2.5266593
377,2.7934449
378,2.7068145
379,2.5423276
380,2.0773685
381,2.5359519
382,2.175235
383,2.0187178
384,2.6829522
386,2.4879103
387,2.4931407
388,2.4931407
390,2.3112085
391,1.8138278
392,2.6861012
393,1.9145541
394,2.0041862
395,2.2618136
396,2.3467436
398,2.3504837
399,2.8361592
404,2.6254513
405,2.812384
406,2.5404887
409,2.5180464
410,2.4358246
412,2.6690638
414,2.5046284
415,1.943508
416,2.5291471
417,2.0483005
419,2.1704783
420,2.6142473
423,2.3523314
424,2.2211967
425,1.9270214
426,2.794583
427,2.3154464
428,2.72187
429,2.4214203
430,2.003722
431,2.622587
432,2.756213
433,2.703153
434,2.3836808
435,2.3562694
436,2.5111375
437,2.747383
438,2.5409365
439,2.534623
441,2.4389453
442,2.7428281
443,2.3988848
448,2.3478909
449,2.4391198
450,2.502998
451,2.4294763
453,2.819288
457,2.7308574
460,2.795296
462,2.7249105
463,2.7663698
464,2.2420604
465,2.7291868
466,2.7965674
467,2.2103727
471,2.3928866
472,2.2648907
474,2.449797
477,2.3198316
482,2.3689175
483,2.452442
484,2.7497401
486,2.7755601
487,2.3164723
488,2.6585524
489,2.2970157
490,2.1972253
493,2.3800092
494,2.1228607
495,2.4054937
496,2.2067335
498,2.1563997
499,2.5163577
502,2.6824644
503,2.4002662
504,2.4125009
505,2.175232
506,2.4691298
507,2.3811712
509,2.691731
510,2.1457155
512,1.9954551
513,2.0430315
514,2.578185
515,2.012451
518,1.7800403
519,2.379168
520,2.5883079
521,2.5512676
522,2.283862
523,2.1871948
525,2.5221286
526,2.6094944
527,2.5942981
528,2.4359128
529,2.5546846
530,2.349169
531,2.1830611
532,2.4535403
534,2.3456564
535,2.5006857
537,2.6085951
538,2.495807
539,2.7439084
540,2.6367435
541,2.451962
543,2.618551
545,2.8157914
546,2.3682287
547,2.2485971
548,2.4568574
550,2.5441737
552,2.5933928
553,2.5768843
554,2.0857217
555,2.6503441
556,2.3734705
558,2.0750277
560,2.5488505
561,2.2467015
564,2.6731646
565,2.3776257
566,2.703691
567,2.399731
569,2.605495
570,2.7541394
574,2.1432934
575,2.6048748
577,2.4189363
578,2.433247
579,2.1914377
580,2.4834473
586,2.5614047
587,2.835419
588,2.2965014
589,2.2382433
590,2.8404224
592,2.5778577
594,2.3401885
596,2.506882
597,2.8130765
598,2.276223
599,2.6928527
601,2.3745353
602,2.5797286
603,2.3168035
604,2.016078
607,2.4263976
608,2.5559354
609,1.9822955
610,2.3106222
612,2.3106222
613,2.0679705
614,1.9041404
615,2.1147208
616,2.753265
617,2.4399736
618,2.4746263
620,2.7905273
621,2.65697
622,2.7571962
623,2.1556861
624,2.730471
625,2.192684
627,2.1795323
628,2.4841142
629,2.587266
631,2.511503
632,2.45814
633,2.1178665
638,2.5030656
639,2.1927233
641,2.2803547
645,2.4487772
647,2.8361592
648,2.1201642
649,2.4827635
650,2.4423416
651,2.805804
654,2.5617478
655,2.515935
656,2.2095106
657,2.6751232
658,2.5946336
664,2.593655
665,2.8292098
667,2.3235376
672,2.3644524
673,2.731644
675,1.9281647
676,1.8812412
678,1.9997096
681,2.4820075
683,2.422398
684,2.1312509
685,2.4975603
689,2.787679
692,2.1533706
693,2.4733827
694,2.6408906
695,2.3787467
697,2.3322294
698,2.673703
699,2.731644
701,2.7165382
702,2.6602387
703,2.4336088
704,2.4234867
705,2.3015742
706,2.5102322
707,2.635315
708,2.4158702
709,2.5949202
710,2.6205745
711,2.6205745
714,2.4867773
716,2.2268283
717,2.7588603
719,2.4475694
720,2.2832422
721,2.3975828
723,2.097201
724,2.7962155
725,2.5509145
727,2.2844195
728,2.4755332
729,2.4977853
730,2.3301706
732,2.0002472
733,2.408546
735,2.4839523
736,2.1492405
738,2.6183968
741,2.6995716
744,2.466761
746,2.3385901
747,2.4129035
750,2.1099153
752,2.209257
